GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,SubhaloID_z0,GroupID_z0,M200c_z0,logM200c_z0,TrackingStatus
1735,8866,105400340000.0,11.022842407226562,672916,922,37289203859456.0,13.571583111086271,success
1736,8868,95566500000.0,10.980305671691895,1082174,3514,13301527347200.0,13.1239015116721,success
1737,8870,74589560000.0,10.87267780303955,578754,644,58801696800768.0,13.769389858398895,success
1738,8874,84279950000.0,10.925724029541016,851580,1695,24266189832192.0,13.385001590721846,success
1739,8878,94249230000.0,10.974278450012207,480348,426,84509076750336.0,13.926903357125804,success
1740,8881,94098690000.0,10.973584175109863,109281,30,389327343321088.0,14.590314906252068,success
1742,8891,106720280000.0,11.028246879577637,700291,1018,30255922282496.0,13.480810395942845,success
1743,8892,120834950000.0,11.082192420959473,609930,728,58706783895552.0,13.768688289291433,success
1744,8894,88404345000.0,10.946474075317383,211746,88,223381030961152.0,14.349046290987863,success
1745,8898,70820250000.0,10.850157737731934,757827,1240,27727627288576.0,13.442912707674996,success
1747,8909,70441935000.0,10.847831726074219,266530,134,174660482236416.0,14.242194654908252,success
1749,8918,109483050000.0,11.039347648620605,1602224,17344,2660044374016.0,12.424888881454205,success
1750,8921,112274740000.0,11.05028247833252,1261417,6109,7997538959360.0,12.902956364391512,success
1751,8922,106856370000.0,11.028800964355469,873851,1822,21864581693440.0,13.33974117296976,success
1752,8924,95320740000.0,10.979187965393066,362897,239,113186665660416.0,14.053795266329251,success
1753,8927,124451300000.0,11.094999313354492,111938,31,390177377746944.0,14.591262085651834,success
1755,8935,115561690000.0,11.062813758850098,171973,62,174374598475776.0,14.241483220589254,success
1756,8936,74494435000.0,10.872123718261719,109285,30,389327343321088.0,14.590314906252068,success
1757,8941,99663830000.0,10.99853801727295,478290,422,87033871597568.0,13.939688303022058,success
1758,8943,85580235000.0,10.932374000549316,680379,947,37698773450752.0,13.57632722043827,success
1759,8946,110810440000.0,11.044581413269043,598283,695,44723809026048.0,13.650538784336064,success
1761,8955,108842885000.0,11.036800384521484,1393298,9172,5245378232320.0,12.719776809648156,success
1762,8958,107263630000.0,11.030452728271484,653933,860,36740299489280.0,13.5651426921443,success
1763,8959,115376824000.0,11.062118530273438,1006066,2774,13585793155072.0,13.133084998132325,success
1764,8961,110868350000.0,11.044807434082031,1092320,3625,9301388165120.0,12.968547768711158,success
1765,8962,83243230000.0,10.92034912109375,438136,350,93156901126144.0,13.96921503325251,success
1767,8969,86206415000.0,10.935540199279785,605831,716,60128938164224.0,13.779083534570761,success
1768,8973,76914740000.0,10.88601016998291,601783,705,49795741777920.0,13.697192206184997,success
1771,8989,107999390000.0,11.033421516418457,17909,2,1033314370584576.0,15.014232469282954,success
1772,8991,73430516000.0,10.865877151489258,104407,28,471019466784768.0,14.673038856476026,success
1773,8998,90905380000.0,10.958589553833008,296366,162,137401439617024.0,14.13799128304707,success
1775,9006,114511360000.0,11.058849334716797,478290,422,87033871597568.0,13.939688303022058,success
1776,9007,81220900000.0,10.90966796875,205477,84,158344471904256.0,14.19960290595621,success
1778,9015,114888385000.0,11.06027603149414,1014313,2847,15279969009664.0,13.184122473418626,success
1779,9018,100338850000.0,11.001469612121582,1457416,11165,3396438065152.0,12.531023699536796,success
1780,9020,80785100000.0,10.907331466674805,799617,1429,29145876660224.0,13.46457712271849,success
1781,9022,111832960000.0,11.048569679260254,661201,883,48145580949504.0,13.682556431495474,success
1782,9024,96365570000.0,10.983922004699707,1058551,3261,12210560565248.0,13.086735602094405,success
1783,9027,85844310000.0,10.933712005615234,552928,581,40077640073216.0,13.602902140669705,success
1784,9030,114333835000.0,11.058175086975098,1655200,20366,2216576155648.0,12.34568265709239,success
1785,9031,110010200000.0,11.041433334350586,795879,1411,17374604427264.0,13.239914925664335,success
1787,9038,100464615000.0,11.002013206481934,985508,2602,13041033805824.0,13.115312020718626,success
1789,9046,122448175000.0,11.087952613830566,773435,1308,30149049319424.0,13.47927362221953,success
1790,9048,80574070000.0,10.906195640563965,429523,336,101111641931776.0,14.0048011628674,success
1792,9063,111210406000.0,11.04614543914795,320331,187,118919146766336.0,14.075251784522125,success
1796,9084,81877970000.0,10.913166999816895,647330,839,34658307801088.0,13.539807354379324,success
1797,9087,80692230000.0,10.906831741333008,381609,264,60795924774912.0,13.783874468958846,success
1800,9101,91295690000.0,10.960450172424316,886478,1900,21789644161024.0,13.338250137994509,success
1802,9111,75245590000.0,10.876481056213379,449119,370,105982210342912.0,14.025232972828052,success
1804,9120,87215555000.0,10.940593719482422,1418659,9922,4717738983424.0,12.67373390916627,success
1805,9122,101817980000.0,11.007824897766113,810055,1478,27932839903232.0,13.44611509222101,success
1806,9124,122387460000.0,11.087737083435059,975105,2519,13883790065664.0,13.142508038158912,success
1808,9133,91410964000.0,10.96099853515625,1009351,2803,16913621057536.0,13.22823659618166,success
1810,9140,109241590000.0,11.0383882522583,1075011,3433,12845508984832.0,13.10875131723798,success
1813,9156,67606815000.0,10.82999038696289,485481,436,73994627710976.0,13.869200189458352,success
1814,9158,65177416000.0,10.81409740447998,399177,289,82948426563584.0,13.918808152370818,success
1815,9163,104425220000.0,11.018805503845215,1283446,6538,4006539427840.0,12.602769420934308,success
1816,9164,93003000000.0,10.968497276306152,27912,4,841819696922624.0,14.925219083166255,success
1818,9174,70802380000.0,10.850048065185547,706146,1039,17952361414656.0,13.254121582825332,success
1819,9176,82084810000.0,10.914262771606445,336600,206,115317153988608.0,14.061893915520757,success
1820,9179,107975490000.0,11.0333251953125,187628,72,275153237835776.0,14.439574627690288,success
1821,9180,93727050000.0,10.971864700317383,535504,541,71958049849344.0,13.857079384924415,success
1822,9182,70442950000.0,10.847837448120117,142408,46,176415714574336.0,14.246537268148105,success
1823,9187,110598504000.0,11.043749809265137,1017516,2876,14513621434368.0,13.161775790985487,success
1825,9194,102237600000.0,11.009611129760742,170055,61,255725188153344.0,14.40777350681889,success
1826,9197,111883720000.0,11.04876708984375,33177,5,733527398154240.0,14.865416339917514,success
1827,9199,75415280000.0,10.877459526062012,561060,600,63358732599296.0,13.801806481229207,success
1828,9204,101495470000.0,11.006446838378906,33174,5,733527398154240.0,14.865416339917514,success
1829,9206,101100910000.0,11.004755020141602,27878,4,841819696922624.0,14.925219083166255,success
1830,9209,77870326000.0,10.891371726989746,1304780,6985,4858683326464.0,12.686518594051476,success
1831,9212,88856100000.0,10.948687553405762,317358,184,107746024226816.0,14.032401253884174,success
1832,9217,70357270000.0,10.847309112548828,517357,502,61252621565952.0,13.787124680910242,success
1834,9226,94167060000.0,10.973898887634277,598719,696,55055063449600.0,13.740797267487508,success
1836,9237,83767070000.0,10.923073768615723,37493,6,459285179924480.0,14.662082431960792,success
1837,9241,98320630000.0,10.992645263671875,0,0,1535789976518656.0,15.186331828797393,success
1838,9245,70715790000.0,10.849516868591309,500613,467,73059776069632.0,13.863678336752544,success
1839,9248,103769350000.0,11.016069412231445,565245,611,68188641427456.0,13.833712037761883,success
1840,9251,74034620000.0,10.86943531036377,142408,46,176415714574336.0,14.246537268148105,success
1842,9258,101007860000.0,11.004355430603027,393217,280,87607643996160.0,13.94254200115118,success
1843,9261,100932080000.0,11.004029273986816,632270,794,29630346035200.0,13.47173672337679,success
1846,9279,91594710000.0,10.961870193481445,609278,726,55012763893760.0,13.740463464867142,success
1847,9283,74567860000.0,10.872551918029785,205477,84,158344471904256.0,14.19960290595621,success
1848,9285,85060470000.0,10.929727554321289,120520,35,381228075188224.0,14.581184876358591,success
