GroupID_z8,SubhaloID_z8,GroupID_z0,SubhaloID_z0,logM200c_z8,logM200c_z0,M0_bin,ParticleMembership,N_DM_total,N_DM_sampled,N_DM_matched,DM_match_fraction,R_Lag_analytic_cMpc,R50_cMpc,R68_cMpc,R80_cMpc,R90_cMpc,Rrms_cMpc,b_over_a,c_over_a,Triaxiality,R_environment_opt_cMpc,fprog_at_Ropt,Nhalo_R10,Ngal_R10,fprog_R2,fprog_R3,fprog_R5,fprog_R8,fprog_R10,fprog_R15,fprog_R20
2736,12454,369,448645,10.994048118591309,13.969884895796945,13.5-14.0,R200c,1341353,10000,10000,1.0,8.272864209806727,5.443572525653311,6.359565324864469,7.02456434812911,7.833088255221857,5.8221381305774065,0.7695663398205803,0.7004331428230215,0.8004965094972359,8.0,0.8295,347,7,0.0446,0.1173,0.3576,0.8295,0.9714,0.9995,1.0
264,2061,319,418698,11.066213607788086,13.980622294147857,13.5-14.0,R200c,1378196,10000,10000,1.0,8.341324729368557,5.916520555822595,7.001973304651131,7.903292016644672,8.912372785477404,6.371819351801697,0.8741462340717788,0.5494527209183316,0.3378710565128139,8.0,0.8085,287,5,0.0363,0.0997,0.3607,0.8085,0.9434,1.0,1.0
3534,15145,345,434871,10.918743133544922,13.98828279934485,13.5-14.0,R200c,1430164,10000,10000,1.0,8.390513305442544,6.665489063542992,7.732080714278841,8.524788606136418,9.335019001248405,6.988668438319697,0.8888291152889202,0.6053141489969132,0.331414983367286,8.0,0.4485,279,3,0.0345,0.0721,0.1672,0.4485,0.6638,0.9896,1.0
2742,12476,268,384682,10.96814250946045,14.00585946404741,14.0-14.5,R200c,1469828,10000,10000,1.0,8.504473234425092,6.565065048160306,8.15995262653849,9.336432333919653,10.427783033648966,7.333777221516278,0.6200506049808786,0.5370607339390779,0.8650461768844327,15.0,0.952,276,4,0.0301,0.0665,0.1966,0.4985,0.6715,0.952,1.0
1007,5909,263,380828,11.122937202453612,14.015381613705411,14.0-14.5,R200c,1492085,10000,10000,1.0,8.566856032021557,6.06674606757209,7.055317798267526,7.87053748089124,8.803073760063082,6.421175897920704,0.8070289712301895,0.7293182792954847,0.7449435546413774,15.0,0.9995,256,4,0.0357,0.0861,0.3151,0.8091,0.9489,0.9995,1.0
3107,13720,274,389202,10.87855625152588,14.02013256951459,14.0-14.5,R200c,1499192,10000,10000,1.0,8.598152041163704,6.5648661481987105,7.774256237339614,8.698349538800445,9.806145493960639,6.996014867953151,0.6359614565737305,0.46918922918716505,0.7636651518116602,15.0,0.9277,182,3,0.0026,0.011,0.0634,0.312,0.5292,0.9277,1.0
630,4106,295,403479,10.89866542816162,14.062548139903948,14.0-14.5,R200c,1653403,10000,10000,1.0,8.882672372672205,6.2086006901538715,7.135531746473362,7.86956321816205,8.774198728338625,6.520196107213339,0.8393674261400027,0.6712495993210205,0.5377674385503216,15.0,0.9973,199,3,0.0385,0.0895,0.2689,0.6488,0.8311,0.9973,1.0
561,3775,252,373072,11.146154403686523,14.0720387209192,14.0-14.5,R200c,1703005,10000,10000,1.0,8.947612569773737,6.41460439333475,7.39506331175944,8.164875610220468,9.252043692477063,6.721280800083091,0.8525548156009407,0.7096741144080971,0.5503038668577164,15.0,1.0,283,2,0.0277,0.0658,0.2366,0.6157,0.8689,1.0,1.0
1150,6497,279,392679,10.903634071350098,14.074991428814956,14.0-14.5,R200c,1720322,10000,10000,1.0,8.9679134234648,6.647678763118375,7.674141733939427,8.481125704393207,9.445536374025703,6.990426227158081,0.8851573935073325,0.5798839776358995,0.32617916512921774,15.0,0.9543,218,1,0.0273,0.0713,0.2076,0.4071,0.5541,0.9543,1.0
507,3507,221,348989,10.988525390625,14.089815338650387,14.0-14.5,R200c,1749776,10000,10000,1.0,9.070530963591125,5.9937325821421545,7.054430385882197,7.8539106415048625,8.953783439949856,6.454319041549012,0.8979692352109676,0.7463621367219716,0.43719170956053477,15.0,0.9998,336,7,0.034,0.0845,0.3123,0.7819,0.9425,0.9998,1.0
3056,13526,235,359588,10.833502769470217,14.094783636522529,14.0-14.5,R200c,1793331,10000,10000,1.0,9.105185738539314,6.83972857688357,8.101386286858299,9.248780481464157,10.66449231628739,7.445099366337164,0.6688908384781935,0.5763886176059916,0.8275004081658791,15.0,0.9047,219,4,0.0176,0.0399,0.1177,0.3104,0.5322,0.9047,0.9983
879,5345,223,350629,11.154056549072266,14.117310563689344,14.0-14.5,R200c,1862896,10000,10000,1.0,9.263983763210177,6.851718145518497,8.058935600692104,8.977587807735866,10.083078330518404,7.247548521449862,0.6710447878861646,0.543248607342042,0.7798464296227338,15.0,0.9918,279,8,0.0338,0.0782,0.2741,0.6271,0.7604,0.9918,1.0
744,4681,185,318336,11.058754920959473,14.135377191784158,14.0-14.5,R200c,1961689,10000,10000,1.0,9.393338968032584,7.483533053208009,8.738093674744627,9.660123447674305,10.651659785803576,7.809965630606592,0.8504307835538174,0.6081206426453964,0.43918151167589314,15.0,0.8946,255,5,0.0218,0.0531,0.1436,0.3904,0.5716,0.8946,1.0
795,4922,175,308891,11.030198097229004,14.172417496531809,14.0-14.5,R200c,2103863,10000,10000,1.0,9.664218998275246,6.4500745467973815,7.539180229142358,8.463331790072987,9.57138650092744,6.8864990768163965,0.8285549109165128,0.7297291939743747,0.6705880407244366,15.0,0.9988,329,9,0.032,0.078,0.253,0.652,0.8513,0.9988,1.0
2726,12412,203,334022,10.93664836883545,14.21819117721292,14.0-14.5,R200c,2386024,10000,10000,1.0,10.009782856591766,7.182417158445781,8.225383873477028,8.92744805598454,9.767459164205643,7.382331740999514,0.9406603225603224,0.922929272525213,0.7770374291606185,15.0,0.9754,245,4,0.0182,0.0453,0.1328,0.3508,0.5533,0.9754,1.0
5260,20615,146,280543,10.86293888092041,14.223991538247155,14.0-14.5,R200c,2366232,10000,10000,1.0,10.054445168706154,7.292932582455467,8.615493754074532,9.614462881689754,10.751175078760047,7.742169655335157,0.8168658812629843,0.69280937563225,0.6398469733973864,15.0,0.9928,295,1,0.023,0.0582,0.2145,0.5717,0.7777,0.9928,1.0
1747,8909,134,266530,10.84783172607422,14.242194654908252,14.0-14.5,R200c,2499368,10000,10000,1.0,10.195905829195576,7.490265364229263,8.748827657956603,9.719755098444562,10.682242977653232,7.875639556561648,0.6918306855051441,0.6570469313407271,0.9174381341614268,15.0,0.919,368,3,0.0184,0.0511,0.1518,0.3785,0.5703,0.919,0.9999
444,3147,80,199580,11.19613552093506,14.286966159246084,14.0-14.5,R200c,2723436,10000,10000,1.0,10.552361248579906,6.943318435846434,8.108981942259438,9.076405643044797,10.341507243132009,7.51840484706809,0.7650511317304536,0.7150145907427244,0.848477252917212,15.0,0.9565,414,13,0.0203,0.0518,0.1709,0.431,0.6434,0.9565,0.9999
